cluster_id,num_users,avg_fraud_score,max_fraud_score,avg_reviews_per_user,num_reviews_in_cluster,suspicious_flag,num_target_products
38,13,0.29977557574562436,0.3459294218994705,1.0,13,0,1
39,13,0.29968201287137286,0.345835859025219,1.0,13,0,1
16,93,0.2991142699035634,0.3534144518395903,1.032258064516129,96,0,4
19,66,0.29828709440211215,0.36096694479837127,1.0151515151515151,67,0,2
14,196,0.2981565584056867,0.46401423950132636,1.0561224489795917,207,0,9
24,33,0.2962855278693489,0.34780067938450043,1.0,33,0,1
0,1916,0.2958055502135281,0.5529879519455456,1.4295407098121085,2739,0,271
44,10,0.29574229615096753,0.3457422961509675,1.0,10,0,1
46,10,0.29555517040246454,0.34555517040246453,1.0,10,0,1
51,8,0.29546160752821304,0.34546160752821303,1.0,8,0,1
59,6,0.29518091890545856,0.34518091890545854,1.0,6,0,1
42,11,0.2911032787312615,0.345648733276716,1.0,11,0,1
31,17,0.2902879194812535,0.3459294218994705,1.0588235294117647,18,0,2
22,53,0.2896688298759703,0.3500461883665364,1.0,53,0,1
55,7,0.2881316246368529,0.34527448177971004,1.0,7,0,1
69,5,0.28508735603120705,0.34508735603120705,1.0,5,0,1
68,5,0.28508735603120705,0.34508735603120705,1.0,5,0,1
86,5,0.28508735603120705,0.34508735603120705,1.0,5,0,1
23,49,0.28456571464757513,0.34911055962402143,1.0204081632653061,50,0,2
33,16,0.2836165476479735,0.3461165476479735,1.0,16,0,1
50,8,0.28286804465396154,0.34536804465396154,1.0,8,0,1
43,11,0.2820123696403524,0.345648733276716,1.0,11,0,1
28,20,0.281584362019231,0.34658436201923104,1.0,20,0,1
40,12,0.27916919235855236,0.345835859025219,1.0,12,0,1
61,6,0.27851425223879184,0.34518091890545854,1.0,6,0,1
67,6,0.27851425223879184,0.34518091890545854,1.0,6,0,1
84,5,0.26508735603120703,0.34508735603120705,1.0,5,0,1
80,5,0.26508735603120703,0.34508735603120705,1.0,5,0,1
29,18,0.2629703400631432,0.3463036733964765,1.0,18,0,1
60,6,0.26184758557212523,0.34518091890545854,1.0,6,0,1
65,6,0.26184758557212523,0.34518091890545854,1.0,6,0,1
36,14,0.2602151361851848,0.3459294218994705,1.0,14,0,1
72,5,0.24508735603120707,0.24508735603120704,1.0,5,0,1
89,4,0.24499379315695555,0.24499379315695555,1.0,4,0,1
